persons_count,landing_year,noc_2011_level4_eng_desc
115,2000,"5254 - Program leaders and instructors in recreation, sport and fitness"
35,2000,6211 - Retail sales supervisors
1010,2000,6221 - Technical sales specialists - wholesale trade
315,2000,6222 - Retail and wholesale buyers
30,2000,6231 - Insurance agents and brokers
20,2000,6232 - Real estate agents and salespersons
60,2000,6235 - Financial sales representatives
35,2000,6311 - Food service supervisors
--,2000,6312 - Executive housekeepers
40,2000,"6313 - Accommodation, travel, tourism and related services supervisors"
--,2000,6315 - Cleaning supervisors
--,2000,6316 - Other services supervisors
235,2000,6321 - Chefs
655,2000,6322 - Cooks
20,2000,"6331 - Butchers, meat cutters and fishmongers - retail and wholesale"
110,2000,6332 - Bakers
215,2000,6341 - Hairstylists and barbers
400,2000,"6342 - Tailors, dressmakers, furriers and milliners"
20,2000,6343 - Shoe repairers and shoemakers
65,2000,"6344 - Jewellers, jewellery and watch repairers and related occupations"
10,2000,6345 - Upholsterers
5,2000,6346 - Funeral directors and embalmers
445,2000,6411 - Sales and account representatives - wholesale trade (non-technical)
630,2000,6421 - Retail salespersons
45,2000,6511 - Maîtres d'hôtel and hosts/hostesses
40,2000,6512 - Bartenders
195,2000,6513 - Food and beverage servers
450,2000,6521 - Travel counsellors
35,2000,6522 - Pursers and flight attendants
55,2000,6523 - Airline ticket and service agents
10,2000,"6524 - Ground and water transport ticket agents, cargo service representatives and related clerks"
55,2000,6525 - Hotel front desk clerks
55,2000,6531 - Tour and travel guides
5,2000,6532 - Outdoor sport and recreational guides
85,2000,6541 - Security guards and related security service occupations
45,2000,6551 - Customer services representatives - financial institutions
100,2000,6552 - Other customer and information services representatives
10,2000,"6561 - Image, social and other personal consultants"
70,2000,"6562 - Estheticians, electrologists and related occupations"
--,2000,6564 - Other personal service occupations
130,2000,6611 - Cashiers
10,2000,6621 - Service station attendants
30,2000,"6622 - Store shelf stockers, clerks and order fillers"
35,2000,6623 - Other sales related occupations
15,2000,"6711 - Food counter attendants, kitchen helpers and related support occupations"
10,2000,"6721 - Support occupations in accommodation, travel and facilities set-up services"
--,2000,"6722 - Operators and attendants in amusement, recreation and sport"
80,2000,6731 - Light duty cleaners
10,2000,6732 - Specialized cleaners
50,2000,"6733 - Janitors, caretakers and building superintendents"
15,2000,"6741 - Dry cleaning, laundry and related occupations"
10,2000,"6742 - Other service support occupations, n.e.c."
5,2000,"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
10,2000,"7202 - Contractors and supervisors, electrical trades and telecommunications occupations"
--,2000,"7203 - Contractors and supervisors, pipefitting trades"
15,2000,"7204 - Contractors and supervisors, carpentry trades"
20,2000,"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers"
275,2000,7231 - Machinists and machining and tooling inspectors
260,2000,7232 - Tool and die makers
10,2000,7233 - Sheet metal workers
5,2000,7234 - Boilermakers
15,2000,7235 - Structural metal and platework fabricators and fitters
--,2000,7236 - Ironworkers
220,2000,7237 - Welders and related machine operators
100,2000,7241 - Electricians (except industrial and power system)
225,2000,7242 - Industrial electricians
25,2000,7243 - Power system electricians
