persons_count,landing_year,census_metropolitan_area_eng_desc
25,2002,Rimouski
10,2002,Rivière-du-Loup
--,2002,Rouyn-Noranda
145,2002,Saguenay
170,2002,Saint John
--,2002,Saint-Georges
90,2002,Saint-Hyacinthe
25,2002,Saint-Jean-sur-Richelieu
35,2002,Salaberry-de-Valleyfield
20,2002,Salmon Arm
100,2002,Sarnia
720,2002,Saskatoon
25,2002,Sault Ste. Marie
10,2002,Sept-Îles
5,2002,Shawinigan
665,2002,Sherbrooke
5,2002,Sorel-Tracy
90,2002,Squamish
880,2002,St. Catharines - Niagara
290,2002,St. John's
140,2002,Steinbach
40,2002,Stratford
5,2002,Strathmore
10,2002,Summerside
5,2002,Swift Current
10,2002,Sylvan Lake
--,2002,Temiskaming Shores
25,2002,Terrace
30,2002,"Territories, outside Census agglomeration (CA)"
--,2002,Thetford Mines
20,2002,Thompson
115,2002,Thunder Bay
10,2002,Tillsonburg
25,2002,Timmins
111565,2002,Toronto
980,2002,Trois-Rivières
10,2002,Truro
5,2002,Val-d'Or
30070,2002,Vancouver
85,2002,Vernon
760,2002,Victoria
80,2002,Victoriaville
20,2002,Wetaskiwin
40,2002,Whitehorse
35,2002,Williams Lake
2490,2002,Windsor
3805,2002,Winnipeg
65,2002,Wood Buffalo
40,2002,Woodstock
55,2002,Yellowknife
25,2002,Yorkton
1200,2003,Abbotsford - Mission
5,2003,Alma
--,2003,Amos
20,2003,Baie-Comeau
245,2003,Barrie
5,2003,Bathurst
--,2003,Bay Roberts
260,2003,Belleville
80,2003,Brandon
225,2003,Brantford
15,2003,Brockville
85,2003,Brooks
9275,2003,Calgary
45,2003,Campbell River
10,2003,Campbellton (New Brunswick part)
30,2003,Camrose
50,2003,Canmore
25,2003,Cape Breton
25,2003,Centre Wellington
110,2003,Charlottetown
95,2003,Chatham-Kent
110,2003,Chilliwack
25,2003,Cobourg
10,2003,Cold Lake
20,2003,Collingwood
10,2003,Corner Brook
65,2003,Cornwall
65,2003,Courtenay
5,2003,Cowansville
20,2003,Cranbrook
5,2003,Dawson Creek
135,2003,Drummondville
40,2003,Duncan
4810,2003,Edmonton
10,2003,Edmundston
10,2003,Elliot Lake
5,2003,Estevan
35,2003,Fort St. John
160,2003,Fredericton
210,2003,Granby
5,2003,Grand Falls-Windsor
65,2003,Grande Prairie
90,2003,Greater Sudbury
620,2003,Guelph
1115,2003,Halifax
3535,2003,Hamilton
15,2003,Hawkesbury (Ontario part)
--,2003,Hawkesbury (Quebec part)
25,2003,High River
5,2003,Ingersoll
105,2003,Joliette
105,2003,Kamloops
35,2003,Kawartha Lakes
305,2003,Kelowna
5,2003,Kenora
10,2003,Kentville
